State,Severity,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
IA,2,37.4,27.8,100.0,29.29,4.0,17.3,
LA,3,72.0,,93.0,29.71,3.0,13.8,0.03
TN,2,62.1,,80.0,29.59,10.0,17.3,
CO,2,30.2,,100.0,29.58,10.0,,
AZ,3,43.5,40.9,95.0,29.92,10.0,4.6,
CA,2,28.4,21.2,86.0,29.91,4.0,6.9,
CA,2,,,,,,,
CA,3,50.0,,74.0,29.97,10.0,,
NY,2,44.6,,93.0,29.66,1.2,,
NY,2,44.1,,100.0,29.6,0.5,,
CT,3,52.0,,100.0,29.61,1.0,3.5,0.0
OH,2,62.6,,48.0,29.44,10.0,13.8,
PA,3,51.1,,89.0,29.63,1.0,3.5,
FL,2,77.0,,96.0,29.97,5.0,10.4,0.01
GA,3,66.9,,90.0,29.88,8.0,8.1,
SD,2,23.0,10.1,85.0,29.99,10.0,15.0,
MO,3,36.0,27.1,86.0,29.64,10.0,13.8,0.0
TX,3,,,,,,,
AZ,2,53.1,,59.0,29.84,10.0,6.9,
AZ,2,50.0,,68.0,29.88,10.0,,
CA,2,57.9,,32.0,29.99,10.0,11.5,
MA,3,50.0,,96.0,29.52,2.0,5.8,
NY,3,42.8,34.5,76.0,29.64,10.0,18.4,
NY,3,39.2,35.9,100.0,29.56,10.0,4.6,
NY,2,43.0,34.5,80.0,29.59,10.0,19.6,
PA,2,50.0,,100.0,29.65,10.0,5.8,
NY,2,50.0,,93.0,29.58,10.0,3.5,
PA,2,48.9,,54.0,29.73,10.0,12.7,
CT,3,48.9,,54.0,29.66,10.0,5.8,
OH,2,43.0,35.4,65.0,29.72,10.0,16.1,
VA,2,45.0,,97.0,29.7,10.0,,
VA,3,51.8,,100.0,29.67,1.5,2.3,
KY,3,44.1,38.1,60.0,29.96,10.0,11.5,
NC,2,52.0,,80.0,29.83,10.0,4.6,
NC,2,66.9,,34.0,29.79,10.0,8.1,
NC,2,66.0,,34.0,29.8,10.0,6.9,
VA,2,55.9,,77.0,29.83,10.0,4.6,
VA,2,55.9,,64.0,29.78,10.0,3.5,
NC,2,62.1,,72.0,29.83,10.0,9.2,
NC,2,64.0,,43.0,29.78,10.0,4.6,
VA,3,52.0,,61.0,29.85,10.0,4.6,
VA,2,46.0,,83.0,29.83,10.0,,
VA,3,53.1,,64.0,29.83,10.0,12.7,
FL,2,84.9,,57.0,29.96,10.0,10.4,
FL,2,73.9,,87.0,29.98,10.0,11.5,
FL,2,73.0,,96.0,29.99,10.0,5.8,0.0
FL,2,80.1,,85.0,30.04,10.0,8.1,
FL,2,78.1,,87.0,30.02,10.0,5.8,
FL,2,71.1,,93.0,30.01,10.0,4.6,
SC,2,62.6,,100.0,29.85,7.0,,
SC,2,44.6,43.1,81.0,29.85,10.0,3.5,
SC,2,68.0,,87.0,29.91,10.0,6.9,
SC,2,71.1,,38.0,29.82,10.0,8.1,
SC,2,60.1,,35.0,29.87,10.0,9.2,
GA,3,59.0,,42.0,29.96,10.0,9.2,
SC,2,60.1,,32.0,29.86,10.0,9.2,
FL,2,64.0,,100.0,29.92,10.0,3.5,
FL,3,69.8,,94.0,29.95,7.0,10.4,
FL,3,71.1,,100.0,29.94,0.1,4.6,0.72
SC,2,62.6,,94.0,29.9,10.0,3.5,
SC,2,59.0,,88.0,29.96,10.0,6.9,
MN,2,26.1,16.8,69.0,30.24,10.0,9.2,
MN,2,27.0,20.5,78.0,30.28,10.0,5.8,
MN,3,24.8,16.1,80.0,30.21,10.0,8.1,
NE,2,25.5,16.2,93.0,30.28,10.0,9.2,
IL,2,34.0,25.0,75.0,30.01,10.0,12.7,
TX,2,51.6,,56.0,30.06,10.0,12.7,
TX,2,46.6,,69.0,30.12,10.0,12.7,
TX,2,46.8,,47.0,30.26,10.0,18.4,
TX,2,48.2,,62.0,30.13,10.0,12.7,
TX,2,55.9,,44.0,30.18,10.0,5.8,
TX,3,48.9,,54.0,30.04,10.0,8.1,
TX,2,51.8,,41.0,30.21,10.0,11.5,
OK,2,34.0,25.5,67.0,30.3,10.0,11.5,
TN,2,41.0,35.8,76.0,30.1,10.0,8.1,
LA,3,64.0,,65.0,29.99,10.0,10.4,
AL,2,50.0,,68.0,30.04,10.0,6.9,
AL,3,50.0,,68.0,30.04,10.0,6.9,
TN,2,44.1,39.5,60.0,30.06,10.0,8.1,
AL,2,44.8,39.9,63.0,30.09,10.0,9.2,
AL,2,53.1,,50.0,30.08,10.0,9.2,
LA,2,52.0,,50.0,30.17,10.0,8.1,
TX,2,51.1,,68.0,30.06,10.0,9.2,
TX,2,57.2,,41.0,30.09,10.0,13.8,
CO,2,25.0,,78.0,30.23,10.0,,
CO,2,26.1,20.5,75.0,30.25,10.0,4.6,
UT,3,25.0,17.1,92.0,30.27,9.0,6.9,0.0
UT,2,25.0,20.7,96.0,30.24,6.0,3.5,
AZ,2,39.2,,93.0,30.19,10.0,,
NM,3,30.9,27.5,57.0,30.25,10.0,3.5,
WA,2,37.9,34.4,93.0,30.34,2.0,4.6,
WA,3,33.1,,85.0,30.35,10.0,,
WA,2,37.9,,93.0,30.34,2.0,,
WA,2,37.9,,86.0,30.38,10.0,,
CA,2,33.6,28.4,90.0,30.22,10.0,5.8,
CA,3,46.0,,73.0,30.13,10.0,,
CA,3,44.6,43.1,76.0,30.16,10.0,3.5,
MA,2,37.0,28.9,48.0,29.88,10.0,12.7,
NH,2,34.0,22.1,38.0,29.92,10.0,21.9,
MI,2,30.0,25.2,66.0,30.16,10.0,4.6,
MI,2,30.0,25.2,64.0,30.25,10.0,4.6,
MD,3,40.5,35.1,51.0,30.06,10.0,8.1,
IN,2,30.9,27.5,79.0,30.16,10.0,3.5,0.0
NC,2,44.6,42.2,57.0,30.08,10.0,4.6,
NC,2,46.9,,50.0,30.07,10.0,5.8,
NC,3,46.9,,50.0,30.07,10.0,5.8,
NC,2,48.0,,46.0,30.01,10.0,3.5,
VA,3,48.9,,44.0,30.03,10.0,6.9,
NC,2,45.0,42.6,52.0,30.08,10.0,4.6,
NC,2,45.0,42.6,52.0,30.08,10.0,4.6,
NC,2,45.0,42.6,53.0,30.08,10.0,4.6,
FL,2,82.9,,69.0,29.97,10.0,15.0,
FL,2,79.0,,74.0,29.95,10.0,4.6,
GA,2,39.9,34.5,70.0,30.15,10.0,8.1,
SC,2,50.0,,44.0,30.02,10.0,4.6,
SC,2,46.0,43.9,58.0,30.04,10.0,4.6,
GA,3,42.1,35.7,52.0,30.13,10.0,11.5,
GA,2,42.1,39.2,85.0,30.09,10.0,4.6,
SC,2,37.4,,93.0,30.1,10.0,,
MN,2,24.1,19.7,85.0,30.08,10.0,3.5,
NE,2,30.0,20.0,66.0,30.26,10.0,12.7,
NE,2,28.9,22.8,81.0,30.24,10.0,5.8,
NE,2,30.0,26.5,69.0,30.2,7.0,3.5,0.0
IL,2,28.9,20.4,69.0,30.26,10.0,9.2,
IL,2,28.9,21.9,69.0,30.26,10.0,6.9,
IA,2,23.0,15.8,85.0,30.32,9.0,5.8,0.0
TX,2,45.3,39.7,57.0,30.28,10.0,11.5,
TX,2,48.0,,63.0,30.28,10.0,4.6,
TX,3,30.2,25.4,86.0,30.39,10.0,4.6,
TX,2,35.1,27.9,72.0,30.4,10.0,9.2,
OK,2,34.0,,67.0,30.36,10.0,,0.0
OK,2,34.0,31.0,70.0,30.37,10.0,3.5,
LA,2,48.9,,54.0,30.27,10.0,5.8,
LA,2,48.9,,54.0,30.27,10.0,5.8,
TX,2,41.0,39.0,60.0,30.43,10.0,3.5,
TX,3,44.6,41.4,49.0,30.33,10.0,5.8,
TN,3,39.0,34.0,53.0,30.22,10.0,6.9,
OK,2,28.9,,69.0,30.45,10.0,,
TX,2,51.1,,56.0,30.35,10.0,12.7,
TX,2,50.0,,54.0,30.33,10.0,6.9,
TX,2,50.0,,54.0,30.33,10.0,6.9,
CO,3,37.4,26.9,17.0,30.12,50.0,20.7,
UT,2,,,,,,,
AZ,2,46.9,,56.0,30.15,10.0,3.5,
AZ,2,52.0,,47.0,30.17,10.0,,
AZ,2,64.0,,22.0,30.05,10.0,4.6,
TX,2,41.0,33.5,40.0,30.2,10.0,13.8,
NV,2,26.1,,96.0,30.16,2.0,,0.0
MA,3,21.0,,85.0,30.1,10.0,,
MA,2,30.0,,51.0,30.04,10.0,,
NY,3,28.9,21.9,51.0,30.09,10.0,6.9,
NY,2,28.9,21.9,51.0,30.11,10.0,6.9,
PA,2,21.9,17.2,82.0,30.11,10.0,3.5,
NY,2,27.0,23.0,75.0,30.12,10.0,3.5,
PA,2,33.1,26.9,59.0,30.07,10.0,6.9,
PA,2,32.0,28.7,64.0,30.06,10.0,3.5,
NJ,2,33.1,,50.0,30.07,10.0,,
CT,3,32.0,,52.0,30.05,10.0,,
OH,2,28.4,21.2,80.0,30.04,10.0,6.9,
OH,2,30.0,23.2,72.0,30.06,10.0,6.9,
OH,3,32.0,20.5,66.0,30.17,10.0,18.4,
MD,2,28.4,,93.0,30.1,10.0,,
MD,3,32.0,,59.0,30.11,,,
IN,2,26.6,16.8,86.0,30.14,10.0,10.4,
OH,2,30.9,27.5,85.0,30.08,5.0,3.5,0.0
OH,2,30.0,21.7,85.0,30.11,6.0,9.2,0.0
OH,2,29.8,20.3,75.0,30.2,10.0,11.5,
NC,2,42.8,38.6,39.0,30.17,10.0,6.9,
SC,3,40.3,34.4,44.0,30.2,10.0,9.2,
NC,2,45.0,40.1,40.0,30.07,10.0,9.2,
NC,2,44.1,38.6,32.0,30.08,10.0,10.4,
VA,2,37.9,34.4,68.0,30.12,10.0,4.6,
FL,3,66.0,,68.0,30.08,10.0,12.7,
FL,2,63.0,,38.0,30.18,10.0,8.1,
FL,2,50.0,,61.0,30.26,10.0,12.7,
FL,2,48.2,,71.0,30.2,10.0,6.9,
SC,2,39.0,35.7,79.0,30.15,10.0,4.6,
SC,2,48.2,,50.0,30.14,10.0,10.4,
SC,2,42.8,36.2,39.0,30.15,10.0,12.7,
GA,3,41.0,33.1,51.0,30.26,10.0,15.0,
SC,2,44.6,40.2,39.0,30.13,10.0,8.1,
GA,3,35.6,28.0,52.0,30.3,10.0,10.4,
SC,2,41.0,38.0,49.0,30.26,10.0,4.6,
SC,3,45.0,41.8,49.0,30.26,10.0,5.8,
GA,2,37.0,28.9,71.0,30.16,10.0,12.7,
SC,2,41.0,,45.0,30.27,10.0,,
MN,2,21.7,9.6,80.0,30.06,10.0,12.7,
IL,2,25.0,16.3,72.0,30.15,10.0,8.1,
IL,2,26.1,14.5,75.0,30.11,9.0,13.8,0.0
IA,2,23.0,15.8,93.0,30.14,9.0,5.8,
TX,2,46.0,42.5,56.0,30.48,10.0,6.9,
OK,3,48.9,,44.0,30.35,10.0,15.0,
OK,2,52.0,,38.0,30.31,10.0,15.0,
OK,2,50.0,,43.0,30.27,10.0,16.1,
LA,2,57.9,,36.0,30.35,10.0,10.4,
AR,2,,,,,,,
TN,3,39.9,32.9,40.0,30.33,10.0,11.5,
TN,3,41.0,36.4,40.0,30.35,10.0,6.9,
AL,2,35.1,,59.0,30.4,10.0,,
LA,3,35.1,31.0,78.0,30.45,10.0,4.6,
LA,2,41.9,,54.0,30.51,10.0,,
OK,2,26.1,18.4,84.0,30.4,8.0,6.9,
TX,2,55.0,,42.0,30.45,10.0,5.8,
TX,2,55.0,,42.0,30.45,10.0,5.8,
TX,2,60.8,,27.0,30.33,9.0,4.6,
UT,3,28.9,25.2,75.0,30.12,10.0,3.5,
UT,2,24.1,17.0,96.0,30.24,6.0,5.8,0.01
UT,2,19.4,12.8,85.0,30.14,1.0,4.6,
AZ,3,59.0,,31.0,29.97,10.0,9.2,
TX,2,53.1,,43.0,30.07,10.0,3.5,
WA,2,39.0,33.4,62.0,30.19,10.0,8.1,
NV,3,28.9,,89.0,30.02,2.0,,0.0
NV,2,33.1,27.7,78.0,30.01,10.0,5.8,
NY,2,33.1,22.2,89.0,30.07,2.5,17.3,0.0
MI,2,30.9,23.5,82.0,30.06,8.0,8.1,0.0
MI,2,30.2,19.8,77.0,30.1,7.0,13.8,
MI,2,29.1,24.1,66.0,30.32,10.0,4.6,
NY,2,35.1,24.8,70.0,30.05,9.0,17.3,0.0
NY,2,27.1,,72.0,30.21,10.0,,
NY,2,28.0,21.7,69.0,30.2,10.0,5.8,
PA,2,30.2,26.7,75.0,30.27,10.0,3.5,
NJ,2,32.0,26.4,66.0,30.29,10.0,5.8,
NY,2,33.1,28.7,56.0,30.12,10.0,4.6,
PA,2,35.6,29.2,65.0,30.18,10.0,8.1,
PA,2,30.9,26.2,69.0,30.27,10.0,4.6,
MD,2,32.0,27.5,66.0,30.38,10.0,4.6,
OH,2,27.0,18.7,81.0,30.32,10.0,8.1,
OH,2,30.9,21.2,76.0,30.27,10.0,12.7,
NC,2,36.0,,70.0,30.43,10.0,,
NC,2,37.9,35.5,55.0,30.44,10.0,3.5,
NC,2,43.0,38.8,43.0,30.32,10.0,6.9,
NC,2,35.1,,64.0,30.41,10.0,,
VA,2,24.1,,88.0,30.36,9.0,,
VA,3,,,,,,,
NC,2,26.1,,84.0,30.41,10.0,,
VA,2,27.0,,96.0,30.42,10.0,,
FL,2,75.0,,50.0,30.23,10.0,12.7,
FL,2,57.9,,53.0,30.39,10.0,6.9,
FL,2,65.7,,61.0,30.28,10.0,9.2,0.0
SC,2,26.6,,100.0,30.42,5.0,,
SC,2,45.0,,39.0,30.44,10.0,,
SC,2,46.0,,39.0,30.42,10.0,,
SC,2,46.4,,57.0,30.37,7.0,,
TN,3,44.1,40.8,43.0,30.35,10.0,5.8,
GA,3,39.9,,51.0,30.4,10.0,,
FL,2,48.9,,74.0,30.42,10.0,8.1,
FL,2,54.0,,75.0,30.36,10.0,6.9,
SC,2,44.1,,37.0,30.46,10.0,,
MO,2,37.9,,57.0,30.24,10.0,,
MN,2,19.4,9.5,58.0,30.34,10.0,8.1,
WI,3,24.1,14.4,60.0,30.38,10.0,9.2,
MN,2,18.0,5.4,71.0,30.37,6.0,11.5,0.0
MN,3,19.0,6.8,59.0,30.43,10.0,11.5,
KS,3,,,,,,,
TX,3,60.1,,96.0,30.14,3.0,3.5,0.0
TX,2,52.0,,74.0,30.22,10.0,,
TX,2,54.0,,72.0,30.21,10.0,,
TX,2,53.6,,100.0,30.17,6.0,,
OK,3,46.6,,60.0,30.28,10.0,10.4,
TX,2,55.0,,93.0,30.18,2.5,3.5,0.04
OK,2,41.0,31.9,62.0,30.32,10.0,19.6,
TX,2,50.0,,94.0,30.23,,4.6,
TX,2,52.0,,97.0,30.23,3.0,4.6,0.02
TN,2,34.0,28.8,70.0,30.42,10.0,5.8,
TN,2,34.0,28.8,70.0,30.42,10.0,5.8,
TN,3,46.0,42.5,39.0,30.32,10.0,6.9,
TN,2,32.0,,75.0,30.39,10.0,,
TX,3,55.4,,77.0,30.23,10.0,5.8,
TX,2,55.4,,72.0,30.26,10.0,6.9,
TX,3,60.1,,96.0,30.22,10.0,8.1,
CO,3,26.6,20.0,69.0,30.11,10.0,5.8,
UT,2,24.6,,99.0,30.12,7.0,,
AZ,2,51.8,,60.0,30.04,10.0,4.6,
AZ,2,52.3,,60.0,30.04,10.0,6.9,
AZ,2,51.8,,100.0,30.06,7.0,3.5,
AZ,2,53.6,,94.0,30.07,10.0,,
OR,3,37.9,30.0,55.0,30.08,10.0,12.7,
MI,2,27.0,19.5,75.0,30.45,10.0,6.9,
NY,3,35.1,25.9,54.0,30.31,10.0,13.8,
PA,3,36.0,27.5,50.0,30.39,10.0,12.7,
NY,3,43.0,41.3,31.0,30.35,10.0,3.5,
RI,3,33.1,26.1,70.0,30.21,10.0,8.1,
PA,2,23.0,14.7,78.0,30.33,10.0,6.9,
PA,2,28.9,25.2,67.0,30.4,10.0,3.5,
MD,3,28.9,,61.0,30.54,10.0,,
OH,3,32.0,28.7,52.0,30.49,10.0,3.5,
OH,3,28.0,,75.0,30.5,10.0,,
SC,2,33.1,,85.0,30.41,10.0,,
NC,2,37.0,34.5,82.0,30.44,10.0,3.5,
NC,2,46.4,45.2,40.0,30.43,10.0,3.5,
NC,3,46.9,,44.0,30.39,10.0,4.6,
SC,2,41.0,,70.0,30.38,10.0,,
VA,2,32.0,28.7,69.0,30.38,10.0,3.5,
NC,2,41.0,,60.0,30.46,10.0,,
NC,2,,,,,,,
VA,2,35.1,,72.0,30.47,10.0,,
FL,2,72.0,,68.0,30.25,10.0,5.8,
FL,3,62.1,,78.0,30.34,10.0,8.1,
FL,2,64.0,,78.0,30.29,10.0,3.5,
FL,3,66.0,,73.0,30.3,10.0,9.2,
SC,2,33.8,,100.0,30.4,7.0,,
SC,2,33.8,,93.0,30.4,10.0,,
SC,3,39.2,,61.0,30.41,10.0,,
GA,2,42.1,37.7,62.0,30.49,10.0,6.9,0.0
FL,3,50.0,,66.0,30.35,10.0,,
SC,2,46.4,,71.0,30.44,7.0,,
MN,3,24.1,15.2,69.0,30.46,10.0,8.1,
IL,2,16.0,10.4,74.0,30.54,10.0,3.5,
IA,3,28.9,21.1,61.0,30.51,10.0,8.1,
IA,2,26.1,20.5,69.0,30.54,10.0,4.6,
MO,2,30.0,23.2,85.0,30.49,6.0,6.9,
TX,2,51.1,,89.0,30.18,10.0,13.8,0.0
TX,2,51.1,,89.0,30.25,10.0,6.9,0.0
TX,2,50.0,,94.0,30.25,3.0,16.1,
OK,2,32.0,23.6,85.0,30.44,6.0,10.4,
TX,2,48.9,,93.0,30.14,3.0,8.1,0.17
TX,2,50.0,,89.0,30.12,2.5,6.9,0.02
TX,3,50.0,,94.0,30.12,3.0,,0.28
LA,3,63.0,,67.0,30.21,10.0,16.1,
LA,2,61.0,,62.0,30.2,10.0,15.0,
TX,3,46.0,41.4,93.0,30.29,7.0,9.2,0.0
OK,2,32.0,24.8,75.0,30.46,10.0,8.1,
TX,2,44.6,40.2,100.0,30.25,5.0,8.1,
OK,2,37.9,32.7,70.0,30.44,10.0,6.9,
TN,3,41.0,37.1,76.0,30.5,7.0,5.8,
TN,2,43.0,41.3,68.0,30.46,9.0,3.5,
AL,3,45.0,43.5,90.0,30.44,8.0,3.5,0.01
TN,3,43.0,41.3,68.0,30.41,9.0,3.5,
AL,3,46.0,43.9,83.0,30.4,10.0,4.6,
AL,3,,,,,,,
AL,2,43.3,,81.0,30.38,10.0,,
LA,2,44.6,41.4,100.0,30.35,6.0,5.8,
LA,2,44.6,41.4,100.0,30.35,6.0,5.8,
TX,2,64.4,,94.0,30.16,9.0,,
TX,2,66.9,,90.0,30.18,10.0,5.8,
TX,2,64.0,,100.0,30.19,10.0,3.5,
TX,2,68.0,,88.0,30.19,7.0,,
TX,2,71.1,,84.0,30.21,10.0,8.1,
TX,2,73.4,,78.0,30.16,9.0,,
AZ,2,62.6,,77.0,30.05,10.0,6.9,
AZ,2,61.0,,64.0,30.03,10.0,4.6,
TX,2,48.9,,86.0,30.01,6.0,5.8,0.0
WA,3,30.9,,64.0,30.11,10.0,,
WA,2,46.9,,37.0,30.12,10.0,8.1,
NV,2,34.0,,73.0,30.27,10.0,,
NC,2,39.9,35.1,65.0,30.48,10.0,6.9,
FL,3,78.1,,66.0,30.12,10.0,15.0,
GA,3,41.0,33.1,89.0,30.27,4.0,15.0,0.06
MO,2,25.0,14.8,69.0,30.63,10.0,10.4,
IL,2,21.0,14.6,71.0,30.61,10.0,4.6,
MN,3,25.0,17.1,78.0,30.49,8.0,6.9,
TX,3,39.0,31.0,89.0,30.26,10.0,13.8,
AL,3,45.9,39.7,91.0,30.1,6.0,13.8,0.13
AZ,2,,,,30.25,10.0,,
MA,2,36.0,28.0,46.0,30.35,10.0,11.5,
NY,2,35.6,25.9,52.0,30.3,10.0,16.1,
NY,2,32.0,,61.0,30.51,10.0,,
PA,3,28.9,,64.0,30.31,10.0,,
NC,3,32.0,20.5,92.0,30.15,1.5,18.4,0.09
SC,3,32.0,20.5,92.0,30.03,6.0,18.4,0.0
GA,3,35.6,29.9,93.0,29.99,4.0,6.9,
SC,3,33.1,,100.0,30.04,,,
GA,3,41.9,37.5,99.0,29.99,6.0,6.9,0.17
IL,3,15.6,10.0,93.0,30.44,7.0,3.5,
IL,2,35.1,31.0,50.0,30.37,10.0,4.6,
LA,3,46.0,38.3,83.0,30.11,10.0,20.7,
AL,2,46.0,41.4,79.0,30.02,10.0,9.2,0.01
AL,3,39.0,33.4,89.0,30.03,7.0,8.1,
TX,3,46.9,,77.0,30.28,10.0,10.4,
CO,3,35.6,25.9,35.0,30.32,10.0,16.1,
AZ,2,53.1,,74.0,30.29,10.0,4.6,
WA,2,44.1,38.6,79.0,30.17,7.0,10.4,0.06
MA,2,37.9,31.5,36.0,30.1,10.0,9.2,
MI,3,26.6,15.7,74.0,30.13,6.0,12.7,
MA,2,28.0,21.7,56.0,30.14,10.0,5.8,
NY,2,30.0,23.2,82.0,30.22,7.0,6.9,0.0
NY,3,17.6,,93.0,30.11,20.0,,
NJ,3,37.0,29.3,62.0,30.16,10.0,11.5,
NY,3,34.0,24.6,54.0,30.14,10.0,13.8,
PA,2,33.8,,65.0,30.14,10.0,,
PA,3,35.6,,60.0,30.13,10.0,,
NJ,3,43.0,41.3,45.0,30.13,10.0,3.5,
MD,2,32.0,24.8,59.0,30.19,10.0,8.1,
IN,2,21.2,14.9,100.0,30.24,4.0,4.6,
OH,3,18.0,,88.0,30.29,5.0,,
NC,2,39.0,34.0,76.0,30.09,10.0,6.9,0.0
NC,2,30.0,23.2,92.0,30.12,0.5,6.9,0.12
NC,2,34.0,29.8,73.0,30.09,10.0,4.6,
VA,3,30.0,,79.0,30.15,7.0,,
FL,3,61.0,,78.0,30.08,10.0,8.1,
FL,2,48.2,,76.0,30.14,10.0,8.1,
FL,2,50.0,,74.0,30.16,10.0,8.1,
FL,2,57.9,,87.0,30.06,10.0,15.0,
