State,Severity,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
VA,3,37.9,32.1,89.0,30.14,4.0,8.1,0.24
NC,2,41.0,34.7,96.0,29.85,10.0,10.4,0.01
VA,2,42.1,37.1,96.0,29.87,5.0,8.1,0.01
SC,2,35.6,29.9,100.0,30.14,2.5,6.9,0.11
MA,2,43.0,34.2,93.0,29.46,1.2,20.7,0.06
MI,2,30.9,21.7,92.0,29.81,6.0,11.5,0.0
MI,2,34.0,25.0,92.0,29.88,3.0,12.7,0.01
NY,3,28.0,17.5,96.0,29.74,0.8,12.7,0.01
MA,2,32.2,24.4,85.0,29.59,10.0,9.2,0.03
NY,2,28.0,21.7,96.0,29.77,9.0,5.8,0.0
NY,3,41.0,30.7,93.0,29.43,6.0,25.3,0.0
NY,2,33.1,19.6,92.0,29.53,1.5,27.6,0.01
CT,3,33.8,23.5,93.0,29.5,5.0,16.1,0.08
NY,2,36.0,23.2,97.0,29.53,5.0,28.8,0.02
NY,2,32.0,22.1,85.0,29.63,1.0,13.8,0.0
NY,3,35.1,22.0,82.0,29.57,9.0,28.8,0.03
OH,3,30.9,19.1,92.0,29.97,8.0,18.4,0.0
OH,2,34.0,23.8,85.0,29.87,5.0,16.1,0.0
MN,2,28.4,24.6,93.0,30.1,1.0,3.5,0.0
NY,3,33.1,26.9,92.0,30.28,10.0,6.9,0.0
PA,3,37.0,34.5,96.0,30.08,2.5,3.5,0.01
OH,2,39.9,37.8,93.0,30.01,7.0,3.5,0.0
KY,3,43.0,40.3,89.0,30.06,6.0,4.6,0.01
AZ,2,42.8,41.1,61.0,30.1,10.0,3.5,0.0
NY,3,30.2,21.9,93.0,29.99,2.5,9.2,0.01
MI,2,27.0,16.7,89.0,30.05,10.0,11.5,0.0
MI,2,25.0,14.2,81.0,30.12,9.0,11.5,0.0
MI,2,24.1,12.5,71.0,30.17,10.0,12.7,0.0
PA,3,35.1,25.9,85.0,29.97,2.5,13.8,0.01
OH,2,33.1,24.9,92.0,30.03,3.0,10.4,0.01
OH,2,36.0,30.3,93.0,30.13,2.5,6.9,0.0
IL,2,30.0,20.0,72.0,30.24,10.0,12.7,0.0
MA,2,30.9,19.1,82.0,29.85,10.0,18.4,0.0
OH,3,33.1,26.1,66.0,30.3,10.0,8.1,0.0
SC,2,37.0,33.3,79.0,30.27,10.0,4.6,0.01
GA,2,41.0,34.7,93.0,30.06,10.0,10.4,0.0
MN,3,39.9,32.5,97.0,29.5,5.0,12.7,0.02
GA,3,44.1,40.8,96.0,29.89,4.0,5.8,0.02
NY,3,37.9,35.5,93.0,29.74,10.0,3.5,0.0
MI,2,32.0,21.2,96.0,29.57,1.5,16.1,0.01
MI,2,37.0,27.7,89.0,29.46,4.0,16.1,0.07
MI,2,32.0,20.5,96.0,29.57,1.0,18.4,0.02
MI,2,30.0,16.9,96.0,29.58,1.0,21.9,0.0
MI,2,30.0,18.7,82.0,29.72,10.0,16.1,0.0
IL,2,30.0,16.0,88.0,29.75,1.0,25.3,0.01
OH,2,25.0,14.8,88.0,29.97,6.0,10.4,0.0
OH,3,30.9,19.8,69.0,29.83,9.0,16.1,0.0
IL,3,21.9,12.5,78.0,29.99,9.0,8.1,0.0
IL,2,21.0,10.6,81.0,30.01,5.0,9.2,0.0
MI,3,25.0,11.3,75.0,29.92,9.0,18.4,0.0
NY,2,33.1,23.0,96.0,29.49,8.0,15.0,0.05
NY,2,30.9,19.4,92.0,29.6,1.2,17.3,0.01
NY,2,30.9,19.4,92.0,29.6,1.2,17.3,0.01
NY,3,32.0,19.8,92.0,29.59,1.0,20.7,0.01
IN,2,21.0,9.3,85.0,30.02,3.0,11.5,0.0
OH,2,23.0,9.6,74.0,30.05,8.0,16.1,0.0
MN,3,26.1,17.6,92.0,29.9,4.0,8.1,0.0
UT,2,39.0,30.3,100.0,29.61,10.0,16.1,0.01
MN,3,46.0,41.0,96.0,29.91,10.0,10.4,0.06
MN,2,44.1,39.5,100.0,29.64,3.0,8.1,0.01
MN,3,46.0,41.0,89.0,29.57,4.0,10.4,0.0
MN,2,43.7,39.1,96.0,29.64,10.0,8.1,0.02
CO,2,32.0,24.2,96.0,30.02,0.8,9.2,0.02
CO,2,32.0,24.2,96.0,30.02,0.8,9.2,0.02
CO,3,25.0,14.2,88.0,30.22,0.5,11.5,0.02
MI,3,45.0,36.4,52.0,30.07,10.0,23.0,0.0
TX,2,45.0,39.7,86.0,30.18,10.0,10.4,0.04
TX,3,45.0,37.9,93.0,30.13,10.0,16.1,0.0
TX,2,43.0,34.2,93.0,30.17,9.0,20.7,0.02
TX,3,42.1,33.6,92.0,30.18,6.0,18.4,0.03
TX,2,45.0,39.3,97.0,30.23,6.0,11.5,0.03
MI,3,46.0,39.9,61.0,30.12,8.0,13.8,0.0
NY,3,45.0,40.6,86.0,29.66,4.0,8.1,0.08
NY,2,46.0,39.6,86.0,30.04,10.0,15.0,0.01
NY,2,39.0,32.3,93.0,30.25,4.0,10.4,0.0
NC,2,46.0,41.9,96.0,29.99,2.5,8.1,0.05
VA,2,43.0,39.5,97.0,29.84,2.0,5.8,0.22
NC,3,45.0,39.7,93.0,29.99,9.0,10.4,0.09
NC,2,45.0,37.9,93.0,29.88,2.0,16.1,0.05
MI,3,46.0,43.9,89.0,29.59,4.0,4.6,0.02
CO,3,44.1,40.8,96.0,30.08,10.0,5.8,0.01
MI,2,42.1,37.1,79.0,30.17,10.0,8.1,0.01
MI,3,42.1,35.2,85.0,30.17,7.0,12.7,0.04
WI,3,41.0,33.9,93.0,30.09,3.0,12.7,0.15
MN,2,24.1,9.0,81.0,30.04,8.0,21.9,0.0
NY,3,33.1,25.5,92.0,30.1,0.5,9.2,0.07
PA,2,30.9,25.2,100.0,30.04,0.5,5.8,0.19
NJ,3,33.1,26.1,96.0,30.1,0.5,8.1,0.19
NJ,3,33.1,26.1,96.0,30.04,1.0,8.1,0.0
PA,2,32.0,24.2,100.0,30.09,0.8,9.2,0.0
NJ,2,33.1,25.5,92.0,30.13,1.8,9.2,0.04
NJ,3,33.1,28.7,89.0,30.17,9.0,4.6,0.0
NJ,2,35.1,29.3,82.0,30.14,4.0,6.9,0.01
MN,3,28.9,19.2,96.0,29.89,2.5,11.5,0.01
MO,3,26.1,16.8,92.0,30.12,8.0,9.2,0.0
NY,3,41.0,35.2,86.0,30.08,3.0,9.2,0.01
CT,3,37.0,31.0,93.0,30.07,1.0,8.1,0.06
OH,3,44.1,40.8,100.0,29.78,3.0,5.8,0.33
OH,2,44.1,40.8,100.0,29.83,3.0,5.8,0.12
NE,2,31.8,27.3,96.0,29.71,10.0,4.6,0.0
MN,3,27.0,18.7,89.0,29.86,2.5,8.1,0.0
MN,3,28.0,17.5,85.0,29.87,0.8,12.7,0.0
NY,3,34.0,19.3,56.0,29.72,10.0,35.7,0.0
MI,3,30.9,17.8,92.0,29.54,1.8,23.0,0.0
MI,3,28.0,14.3,81.0,29.85,1.2,21.9,0.0
IA,2,25.0,9.2,88.0,30.05,9.0,25.3,0.0
IL,2,27.0,15.2,81.0,29.87,4.0,15.0,0.0
IL,2,26.1,13.1,75.0,30.03,10.0,17.3,0.0
WA,3,41.0,38.0,89.0,30.06,10.0,4.6,0.0
NY,3,30.9,23.5,92.0,29.82,0.8,8.1,0.0
MI,3,30.0,26.5,96.0,29.82,0.8,3.5,0.04
MI,2,32.0,27.5,92.0,29.85,2.0,4.6,0.04
NY,2,30.9,22.8,85.0,29.82,0.5,9.2,0.0
PA,2,39.9,36.7,86.0,30.11,7.0,4.6,0.01
MI,3,33.1,28.7,82.0,30.17,5.0,4.6,0.03
TN,3,39.0,34.8,96.0,30.02,2.0,5.8,0.03
IL,2,28.9,22.8,92.0,30.11,1.5,5.8,0.0
OR,2,39.0,31.8,93.0,30.02,9.0,11.5,0.02
OR,2,42.8,36.2,87.0,29.93,10.0,12.7,0.01
OR,2,44.1,35.4,85.0,29.95,10.0,21.9,0.0
MI,2,41.0,33.9,89.0,29.83,5.0,12.7,0.01
WI,2,36.0,25.6,97.0,29.88,4.0,18.4,0.04
NY,3,28.9,16.9,89.0,30.18,1.5,17.3,0.03
IL,3,39.9,30.8,97.0,29.86,3.0,18.4,0.0
MI,3,37.0,27.0,93.0,29.68,5.0,18.4,0.0
MI,3,33.1,28.7,96.0,29.75,6.0,4.6,0.03
MN,2,25.0,14.2,81.0,30.02,1.8,11.5,0.0
MI,2,34.0,23.8,89.0,29.65,3.0,16.1,0.0
MA,3,30.9,19.4,96.0,30.18,2.5,17.3,0.02
MI,2,33.1,25.5,92.0,29.66,9.0,9.2,0.01
MI,2,33.1,21.9,72.0,29.76,10.0,18.4,0.0
NY,2,41.0,35.2,96.0,29.62,4.0,9.2,0.1
NY,3,37.9,26.1,86.0,29.65,10.0,27.6,0.0
CT,3,37.9,29.6,93.0,30.0,3.0,13.8,0.02
IN,2,30.2,20.8,86.0,29.83,7.0,11.5,0.0
IL,2,28.0,16.5,85.0,29.83,2.0,15.0,0.0
WA,3,46.0,39.9,89.0,29.68,10.0,13.8,0.05
WA,3,45.0,40.1,90.0,29.77,10.0,9.2,0.02
NY,2,30.9,19.4,82.0,29.68,0.8,17.3,0.0
MI,2,28.0,18.1,81.0,29.73,1.2,11.5,0.0
MI,2,35.1,27.4,61.0,29.73,10.0,10.4,0.0
UT,3,28.9,21.9,100.0,30.0,0.5,6.9,0.03
NY,2,33.1,24.9,92.0,29.73,1.0,10.4,0.0
MN,2,33.8,27.7,93.0,29.99,1.0,6.9,0.04
MN,3,33.1,23.9,85.0,29.97,9.0,12.7,0.0
WI,3,31.1,24.5,100.0,29.87,0.5,6.9,0.07
NY,2,37.9,32.1,93.0,29.67,10.0,8.1,0.01
CT,2,39.0,33.4,89.0,29.78,10.0,8.1,0.01
OH,3,34.0,25.5,92.0,29.95,5.0,11.5,0.0
OH,3,36.0,27.1,89.0,30.03,5.0,13.8,0.0
CO,2,35.1,27.9,96.0,30.45,3.0,9.2,0.01
OK,3,46.0,38.8,96.0,30.21,5.0,18.4,0.15
OK,2,46.0,38.8,96.0,30.21,5.0,18.4,0.15
CA,3,37.9,32.7,89.0,30.03,6.0,6.9,0.0
OR,3,42.1,36.1,92.0,29.91,7.0,10.4,0.04
OR,2,37.9,30.9,93.0,29.6,9.0,10.4,0.17
OR,2,44.1,40.8,79.0,29.49,10.0,5.8,0.01
NV,2,39.0,30.3,73.0,29.72,10.0,16.1,0.0
CA,2,39.2,33.6,93.0,29.68,2.0,8.1,0.02
NY,3,30.0,17.2,100.0,29.79,0.5,20.7,0.01
NJ,2,36.0,30.3,97.0,29.36,7.0,6.9,0.03
PA,3,30.9,19.8,89.0,29.62,1.0,16.1,0.01
VA,2,44.1,33.7,45.0,29.68,10.0,32.2,0.0
NY,2,21.0,16.2,81.0,30.28,9.0,3.5,0.0
NY,2,21.0,16.2,81.0,30.28,9.0,3.5,0.0
NY,2,30.9,24.3,69.0,30.27,10.0,6.9,0.0
MN,3,28.9,16.5,92.0,29.77,1.2,18.4,0.0
MN,3,33.8,21.9,93.0,29.59,3.0,21.9,0.23
MN,3,33.1,22.2,70.0,29.82,7.0,17.3,0.01
MN,3,28.0,16.1,81.0,29.73,3.0,16.1,0.0
IA,3,33.1,21.9,92.0,29.66,1.2,18.4,0.0
NC,2,44.1,40.1,96.0,29.9,2.0,6.9,0.08
NC,2,43.0,39.5,97.0,29.79,2.0,5.8,0.07
SC,3,44.1,39.5,93.0,29.94,10.0,8.1,0.0
SC,2,46.0,44.8,89.0,29.94,10.0,3.5,0.0
MN,3,28.9,19.8,85.0,29.69,3.0,10.4,0.0
MN,3,30.0,20.5,85.0,29.71,7.0,11.5,0.0
IL,2,34.0,28.8,96.0,29.7,4.0,5.8,0.0
IL,2,33.1,26.9,100.0,29.64,2.0,6.9,0.01
MI,2,35.1,28.6,89.0,29.67,1.5,8.1,0.0
MI,2,30.0,22.4,92.0,29.71,1.2,8.1,0.02
MI,2,24.1,15.2,84.0,29.89,10.0,8.1,0.0
NY,3,30.9,24.3,89.0,29.75,2.0,6.9,0.0
CT,3,32.0,23.6,96.0,29.86,0.8,10.4,0.01
PA,2,32.0,23.6,100.0,29.69,0.2,10.4,0.01
PA,3,33.1,27.7,82.0,29.73,3.0,5.8,0.0
NC,3,39.0,35.7,96.0,29.71,8.0,4.6,0.0
MI,2,28.9,16.5,89.0,29.8,0.8,18.4,0.01
MA,3,28.9,20.4,89.0,29.63,2.5,9.2,0.01
NY,2,28.0,21.7,88.0,29.64,7.0,5.8,0.0
NY,2,28.9,19.8,92.0,29.7,1.2,10.4,0.0
NY,2,28.9,19.8,92.0,29.68,1.8,10.4,0.0
PA,2,28.9,19.2,69.0,29.9,9.0,11.5,0.0
MI,2,32.0,22.5,82.0,29.98,7.0,12.7,0.0
MI,2,28.9,23.9,96.0,30.02,3.0,4.6,0.02
PA,3,36.0,27.5,89.0,29.79,8.0,12.7,0.0
NC,3,32.0,25.6,92.0,29.79,1.0,6.9,0.07
VA,3,42.1,33.9,85.0,29.76,5.0,17.3,0.0
SC,2,44.1,40.8,89.0,29.75,5.0,5.8,0.03
MI,2,26.1,16.2,88.0,30.0,2.5,10.4,0.0
MI,2,27.0,16.7,85.0,30.03,3.0,11.5,0.0
NH,3,30.9,19.8,85.0,29.54,0.2,16.1,0.05
NY,2,30.0,21.7,92.0,29.79,1.0,9.2,0.01
MI,2,27.0,18.0,85.0,30.07,10.0,9.2,0.0
MI,2,28.9,15.8,72.0,30.06,1.5,20.7,0.0
NY,2,33.1,23.9,64.0,29.81,9.0,12.7,0.0
PA,2,30.9,22.8,100.0,29.73,1.8,9.2,0.0
NY,3,33.1,20.1,96.0,29.51,0.5,25.3,0.0
NY,2,32.0,20.1,92.0,29.57,1.2,19.6,0.0
IL,2,30.9,21.7,76.0,30.15,0.8,11.5,0.0
OR,2,46.0,40.2,93.0,29.77,3.0,12.7,0.12
OR,2,46.4,41.1,81.0,29.76,5.0,11.5,0.03
NY,3,30.9,22.2,92.0,29.65,1.2,10.4,0.05
NY,2,30.0,21.7,96.0,29.65,0.5,9.2,0.02
NC,2,33.1,26.9,75.0,30.0,3.0,6.9,0.0
WA,3,45.0,39.7,93.0,29.86,10.0,10.4,0.01
CA,3,28.9,19.8,100.0,29.95,0.2,10.4,0.07
NJ,2,41.0,31.6,57.0,29.63,10.0,20.7,0.0
PA,2,28.9,21.1,67.0,29.7,7.0,8.1,0.0
NY,3,26.1,12.7,71.0,29.78,8.0,18.4,0.0
NV,3,33.1,26.9,92.0,29.75,0.5,6.9,0.06
CA,2,42.8,38.6,87.0,29.86,3.0,6.9,0.05
OR,2,44.1,40.8,85.0,29.88,10.0,5.8,0.0
PA,3,30.9,27.5,82.0,29.97,1.8,3.5,0.0
MO,3,45.0,40.1,93.0,29.69,8.0,9.2,0.0
NJ,3,32.0,24.2,79.0,29.8,6.0,9.2,0.0
NJ,3,28.9,16.1,89.0,29.81,0.8,19.6,0.05
DE,2,30.9,19.1,85.0,29.78,6.0,18.4,0.05
VA,2,38.3,33.2,100.0,29.76,10.0,6.9,0.04
VA,2,33.8,25.3,100.0,29.8,2.5,11.5,0.03
PA,2,28.9,19.8,89.0,29.8,0.8,10.4,0.0
MD,3,30.2,23.4,100.0,29.81,7.0,6.9,0.02
MD,3,30.2,23.4,100.0,29.81,7.0,6.9,0.02
VA,2,39.0,30.3,96.0,29.72,6.0,16.1,0.05
VA,3,39.0,34.0,100.0,29.71,4.0,6.9,0.13
NJ,2,33.1,23.0,85.0,29.67,9.0,15.0,0.02
PA,2,34.0,24.2,82.0,29.66,1.8,15.0,0.01
NJ,3,30.9,18.1,92.0,29.69,0.5,21.9,0.03
CT,3,33.1,22.2,82.0,29.69,3.0,17.3,0.02
NY,3,32.0,21.2,88.0,29.62,1.2,16.1,0.01
PA,2,28.0,21.7,96.0,29.72,1.5,5.8,0.04
MD,3,32.0,24.8,92.0,29.75,2.5,8.1,0.0
KY,2,32.0,24.8,100.0,29.78,1.0,8.1,0.03
KY,2,32.0,22.1,92.0,29.79,1.2,13.8,0.0
IN,2,28.9,20.4,75.0,29.86,1.8,9.2,0.01
