Severity,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
2,GA,59.0,,90.0,29.91,10.0,3.5,
2,NE,25.3,15.3,81.0,30.22,10.0,10.4,
2,TX,54.0,,51.0,30.09,10.0,11.5,
3,TX,44.1,37.7,65.0,30.17,10.0,12.7,
2,OK,34.0,23.4,73.0,30.3,10.0,17.3,
2,LA,59.0,,49.0,30.06,10.0,12.7,
2,LA,64.9,,36.0,30.04,10.0,10.4,
2,AL,43.0,37.2,65.0,30.12,10.0,10.4,
3,TX,60.8,,42.0,30.12,10.0,11.5,
2,CO,24.8,,86.0,30.12,20.0,,
2,AZ,35.4,30.5,90.0,30.16,10.0,5.8,
2,NC,48.2,,46.0,30.04,10.0,4.6,
2,NC,46.9,,50.0,30.07,10.0,5.8,
2,VA,45.0,40.1,52.0,30.03,10.0,9.2,
2,NC,45.0,42.6,52.0,30.08,10.0,4.6,
2,NC,45.0,42.6,53.0,30.08,10.0,4.6,
2,FL,66.9,,68.0,30.04,10.0,8.1,
3,SC,48.0,,56.0,30.05,10.0,3.5,
2,MO,32.0,26.4,92.0,30.28,4.0,5.8,0.0
2,NE,23.9,15.0,82.0,30.26,10.0,8.1,
2,TX,45.3,39.7,57.0,30.28,10.0,11.5,
2,TX,33.1,28.7,78.0,30.38,10.0,4.6,
2,OK,33.1,,66.0,30.43,10.0,,
3,TX,46.0,42.5,54.0,30.34,10.0,6.9,
2,TX,55.0,,40.0,30.3,10.0,,
2,TX,55.0,,40.0,30.3,10.0,,
2,TN,39.0,34.8,67.0,30.25,10.0,5.8,
3,TN,39.0,34.0,53.0,30.22,10.0,6.9,
3,AL,34.0,,75.0,30.26,10.0,,
2,LA,47.3,,55.0,30.34,10.0,4.6,
3,NV,30.0,23.2,85.0,30.14,10.0,6.9,
3,MI,28.0,20.8,85.0,30.09,2.0,6.9,0.0
3,PA,30.9,25.2,64.0,30.07,6.0,5.8,0.0
2,PA,33.1,26.9,72.0,30.1,10.0,6.9,
3,VA,32.4,,73.0,30.07,10.0,,
3,VA,32.0,28.7,79.0,30.17,10.0,3.5,
2,NC,46.0,40.2,39.0,30.14,10.0,12.7,
2,SC,46.0,41.4,39.0,30.17,10.0,9.2,
2,NC,45.0,39.7,33.0,30.16,10.0,10.4,
2,NC,42.1,,70.0,30.1,10.0,,
2,NC,44.1,38.6,32.0,30.08,10.0,10.4,
2,FL,64.9,,84.0,30.11,10.0,8.1,
2,FL,68.0,,63.0,30.13,10.0,16.1,
2,FL,68.0,,63.0,30.13,10.0,16.1,
2,SC,41.0,38.0,49.0,30.26,10.0,4.6,
2,FL,43.0,36.4,71.0,30.24,10.0,12.7,
3,MN,27.0,18.7,81.0,30.02,3.0,8.1,0.0
3,MN,28.9,20.4,78.0,30.03,7.0,9.2,0.0
2,IL,25.0,18.1,75.0,30.14,10.0,5.8,
2,TX,45.0,42.6,56.0,30.39,10.0,4.6,
3,TX,37.4,,60.0,30.46,10.0,,
2,TN,30.9,26.2,76.0,30.4,10.0,4.6,
2,TN,30.9,26.2,76.0,30.4,10.0,4.6,
2,LA,36.0,33.3,73.0,30.47,10.0,3.5,
2,WA,43.0,38.2,53.0,30.18,10.0,8.1,
2,NY,30.0,22.4,92.0,30.11,1.0,8.1,0.0
2,CT,21.9,17.2,82.0,30.2,10.0,3.5,
2,NJ,28.0,20.8,88.0,30.27,7.0,6.9,
3,NY,39.0,31.0,46.0,30.17,10.0,13.8,
3,PA,32.0,24.2,96.0,30.24,7.0,9.2,0.0
2,IN,,,,,,,
3,OH,30.0,21.1,69.0,30.27,10.0,10.4,
2,NC,44.1,39.5,42.0,30.36,10.0,8.1,
3,VA,38.3,35.9,46.0,30.25,10.0,3.5,
2,NC,45.0,39.7,42.0,30.35,10.0,10.4,
2,NC,44.1,40.1,42.0,30.32,10.0,6.9,
2,VA,39.9,35.8,51.0,30.31,10.0,5.8,
2,FL,72.0,,53.0,30.26,10.0,9.2,
2,FL,70.0,,61.0,30.25,10.0,11.5,
2,FL,44.6,38.4,66.0,30.36,10.0,12.7,
2,SC,23.0,,96.0,30.45,10.0,,
2,TX,55.9,,90.0,30.17,4.0,4.6,0.08
3,TX,51.8,,88.0,30.24,2.0,,
2,TX,57.0,,93.0,30.17,1.5,5.8,0.05
2,LA,48.9,,69.0,30.41,10.0,9.2,
2,LA,52.0,,77.0,30.32,10.0,8.1,
2,TN,34.0,28.8,70.0,30.42,10.0,5.8,
3,TX,55.4,,77.0,30.23,10.0,5.8,
2,TX,60.8,,72.0,30.24,10.0,,
2,TX,60.8,,72.0,30.25,9.0,4.6,
2,UT,27.9,,90.0,30.16,10.0,,
2,WA,19.4,,100.0,30.13,10.0,,
2,NY,26.1,13.6,60.0,30.48,10.0,16.1,
2,PA,39.0,32.8,57.0,30.27,10.0,9.2,
2,NY,28.9,,43.0,30.45,10.0,,
2,VA,35.6,27.1,65.0,30.38,10.0,12.7,
2,PA,27.0,20.5,63.0,30.46,10.0,5.8,
2,OH,28.0,24.2,66.0,30.49,10.0,3.5,
2,NC,46.9,,44.0,30.4,10.0,,
2,VA,35.1,30.1,64.0,30.45,10.0,5.8,
3,SC,34.0,,96.0,30.41,9.0,,
2,GA,42.1,40.2,65.0,30.45,10.0,3.5,
2,SC,53.1,,34.0,30.38,10.0,4.6,
3,MO,28.0,21.7,75.0,30.57,10.0,5.8,
2,TX,51.1,,89.0,30.25,10.0,6.9,0.0
2,OK,34.0,26.6,75.0,30.42,8.0,9.2,
2,TX,46.9,,93.0,30.34,5.0,8.1,0.0
3,TX,44.6,39.7,93.0,30.34,7.0,9.2,
2,TN,39.0,35.7,79.0,30.45,10.0,4.6,
1,AL,42.1,40.2,79.0,30.48,9.0,3.5,0.01
2,AL,45.0,41.2,86.0,30.4,10.0,6.9,0.01
3,AL,45.0,43.5,90.0,30.4,10.0,3.5,
2,TN,43.0,39.5,68.0,30.43,10.0,5.8,
2,AZ,66.2,,52.0,29.99,10.0,4.6,
2,AZ,62.6,,77.0,30.05,10.0,6.9,
2,TX,48.9,,86.0,30.01,6.0,5.8,0.0
2,NJ,35.1,,50.0,30.46,10.0,,
2,NC,39.9,35.8,83.0,30.45,5.0,5.8,0.01
3,LA,55.0,,96.0,29.86,4.0,9.2,0.0
3,TX,46.4,41.5,87.0,30.12,10.0,10.4,
3,UT,32.0,,85.0,30.34,5.0,,
2,AZ,55.4,,94.0,30.3,5.0,,
2,NJ,28.6,,62.0,30.13,10.0,,
3,VA,,,,,,,
3,GA,34.0,27.2,92.0,30.04,6.0,8.1,0.02
3,GA,37.0,27.4,89.0,29.96,2.5,17.3,0.0
2,MN,21.2,12.6,93.0,30.32,5.0,6.9,
3,LA,44.1,35.4,82.0,30.18,10.0,21.9,
3,NJ,36.0,27.5,52.0,30.16,10.0,12.7,
3,NJ,24.8,,86.0,30.15,10.0,,
3,CT,30.0,26.5,54.0,30.17,10.0,3.5,
2,MD,28.0,21.7,60.0,30.13,10.0,5.8,
3,VA,30.0,21.1,66.0,30.27,10.0,10.4,
3,KY,24.1,18.2,77.0,30.26,7.0,4.6,
2,OH,28.9,25.2,70.0,30.22,10.0,3.5,
2,NC,39.0,32.8,62.0,30.16,10.0,9.2,
2,NC,30.0,22.4,92.0,30.13,0.5,8.1,0.12
3,FL,54.0,,83.0,30.02,10.0,12.7,
2,FL,62.1,,78.0,30.06,10.0,9.2,
3,FL,55.0,,77.0,30.13,10.0,11.5,
2,SC,37.0,32.4,100.0,30.0,5.0,5.8,0.01
3,GA,39.0,36.8,96.0,30.11,6.0,3.5,0.0
2,SC,39.2,30.5,81.0,30.08,10.0,16.1,
2,SC,39.9,37.8,93.0,30.1,10.0,3.5,
2,WI,16.0,,84.0,30.28,6.0,,
2,TX,52.3,,43.0,30.43,10.0,,
2,TX,37.0,,76.0,30.41,10.0,,
3,TX,36.0,32.1,86.0,30.43,10.0,4.6,
2,OK,48.9,,36.0,30.32,10.0,3.5,
2,LA,53.1,,27.0,30.28,10.0,8.1,
2,AL,37.6,31.0,89.0,30.22,10.0,9.2,
2,TX,39.0,36.8,96.0,30.35,10.0,3.5,
2,CO,45.0,,16.0,30.26,10.0,,
2,PA,27.0,23.0,69.0,30.18,10.0,3.5,
3,MD,43.0,,32.0,30.07,,,
3,MD,43.0,37.2,35.0,30.07,10.0,10.4,
2,SC,30.2,,93.0,30.2,7.0,,
2,NC,30.0,,85.0,30.24,9.0,,
2,NC,36.0,,67.0,30.25,10.0,,
2,NC,43.0,41.3,56.0,30.25,10.0,3.5,
2,NC,30.9,26.2,79.0,30.17,10.0,4.6,
2,FL,51.1,,86.0,30.32,10.0,9.2,
2,FL,50.0,,61.0,30.34,10.0,17.3,
2,FL,50.0,,77.0,30.31,10.0,8.1,
3,GA,41.0,35.8,60.0,30.34,10.0,8.1,
2,SC,55.0,,40.0,30.18,10.0,10.4,
2,SC,50.0,,43.0,30.16,10.0,10.4,
2,FL,55.4,,41.0,30.25,10.0,8.1,
2,SC,35.6,,93.0,30.23,10.0,,
3,WI,30.2,23.4,80.0,30.01,7.0,6.9,
3,MN,28.4,23.3,74.0,29.95,7.0,4.6,
3,IA,26.6,21.2,80.0,30.07,10.0,4.6,
2,TX,60.1,,39.0,30.36,10.0,,
3,LA,35.1,,89.0,30.45,10.0,,
2,TX,30.0,,96.0,30.41,10.0,,
2,TX,36.0,31.1,76.0,30.32,10.0,5.8,
3,AL,27.0,,96.0,30.4,1.5,,
2,TN,21.0,14.6,85.0,30.38,7.0,4.6,
2,TX,53.6,,51.0,30.42,10.0,,
3,TX,55.4,,67.0,30.26,10.0,,
2,MA,36.0,26.0,34.0,30.11,10.0,17.3,
2,NY,21.9,,82.0,30.08,8.0,,
3,PA,28.0,24.2,75.0,30.17,10.0,3.5,
3,VA,44.6,43.1,48.0,30.18,10.0,3.5,
3,MD,37.0,33.3,67.0,30.19,9.0,4.6,
2,IN,45.0,39.3,58.0,29.88,10.0,11.5,
2,NC,50.0,,41.0,30.17,10.0,6.9,
3,FL,54.0,,75.0,30.26,10.0,10.4,
2,SC,30.2,25.4,93.0,30.19,10.0,4.6,
2,SC,51.1,,48.0,30.2,10.0,,
2,SC,51.8,,47.0,30.21,10.0,,
2,MN,23.9,,98.0,29.74,2.0,,
2,WI,32.0,24.2,93.0,29.71,1.5,9.2,
2,IL,37.0,30.4,73.0,29.82,9.0,9.2,
3,TX,62.6,,82.0,29.86,10.0,16.1,
2,TX,59.0,,88.0,29.88,10.0,,
2,LA,52.0,,66.0,30.26,10.0,5.8,
3,LA,57.9,,70.0,30.09,10.0,6.9,
3,AL,30.0,,88.0,30.27,1.8,,
2,TN,42.1,35.2,49.0,30.15,10.0,12.7,
2,TX,59.0,,81.0,30.1,10.0,4.6,
3,CO,41.2,35.0,44.0,29.77,10.0,10.4,
3,CO,27.0,19.5,75.0,30.23,10.0,6.9,
2,UT,27.5,19.3,96.0,29.98,7.0,8.1,
3,UT,28.9,23.9,96.0,30.08,0.8,4.6,0.05
3,UT,28.9,,96.0,30.15,2.0,,0.06
3,AZ,48.0,,77.0,29.99,10.0,5.8,
2,TX,64.9,,40.0,29.81,10.0,8.1,
3,WA,39.9,33.4,86.0,30.25,10.0,10.4,
3,WA,37.9,32.7,68.0,30.28,10.0,6.9,
3,MI,34.0,29.8,85.0,30.11,5.0,4.6,
2,NH,19.0,,62.0,30.59,10.0,,
2,NY,35.1,26.4,67.0,30.41,10.0,12.7,0.0
2,PA,35.1,,78.0,30.27,6.0,,
2,SC,35.1,,92.0,30.31,7.0,,
2,SC,53.6,,44.0,30.24,10.0,5.8,
3,GA,52.0,,53.0,30.16,10.0,5.8,
2,MN,33.8,,100.0,30.14,5.0,,
2,MO,48.9,,90.0,29.84,6.0,12.7,0.0
2,LA,64.9,,93.0,29.78,10.0,9.2,
2,LA,64.9,,93.0,29.78,10.0,9.2,
2,TX,37.0,26.7,100.0,29.95,5.0,19.6,0.13
3,TN,61.0,,52.0,30.07,10.0,10.4,
2,TN,53.6,,88.0,30.0,10.0,11.5,
2,TX,69.8,,83.0,29.79,10.0,8.1,
3,TX,50.0,,66.0,29.83,10.0,10.4,
2,CO,30.2,,37.0,30.23,50.0,,
3,AZ,42.1,,79.0,30.21,10.0,,
2,TX,52.0,,22.0,30.15,10.0,12.7,
3,WA,48.2,,90.0,30.07,10.0,15.0,0.0
2,WA,51.1,,66.0,30.02,6.0,10.4,0.0
2,MI,36.0,33.3,97.0,30.21,1.5,3.5,0.06
2,MI,37.9,,89.0,30.21,1.2,,
2,NY,30.0,26.5,96.0,30.31,6.0,3.5,
2,PA,39.9,36.7,97.0,30.43,0.2,4.6,
2,OH,43.0,38.8,76.0,30.23,10.0,6.9,
2,TN,46.9,,83.0,30.05,7.0,5.8,0.0
2,NC,44.1,38.6,96.0,30.24,2.5,10.4,0.06
2,NC,46.0,41.0,96.0,30.18,1.0,10.4,0.06
3,NC,42.8,40.1,100.0,30.1,2.0,4.6,
2,NC,42.8,38.0,93.0,30.08,3.0,8.1,
3,NC,39.0,,89.0,30.35,10.0,,0.01
2,NC,53.8,,100.0,30.04,7.0,3.5,
2,FL,66.9,,93.0,30.06,10.0,8.1,
2,FL,69.8,,83.0,30.05,10.0,11.5,
2,FL,82.4,,62.0,30.01,7.0,16.1,
3,GA,46.0,39.6,93.0,30.06,0.5,15.0,0.01
3,SC,46.9,,93.0,30.02,2.0,11.5,0.04
2,FL,63.0,,100.0,29.93,9.0,13.8,0.05
3,FL,62.6,,100.0,29.95,9.0,8.1,
3,SC,55.4,,100.0,30.13,10.0,,
2,NE,45.5,44.2,48.0,30.25,10.0,3.5,
2,MN,37.8,35.3,65.0,30.18,10.0,3.5,
3,MN,21.9,17.2,89.0,30.23,9.0,3.5,
2,OK,48.9,,44.0,30.15,10.0,20.7,
2,LA,53.1,,74.0,29.88,10.0,9.2,
2,LA,53.1,,93.0,29.78,10.0,5.8,
4,TX,48.2,,82.0,30.05,10.0,11.5,
2,CO,30.2,,32.0,30.28,50.0,,
2,UT,28.9,22.8,82.0,30.34,10.0,5.8,
3,NV,34.0,25.5,52.0,30.21,10.0,11.5,
2,NM,28.9,21.1,45.0,30.48,10.0,8.1,
3,WA,53.1,,55.0,29.57,10.0,24.2,
3,IN,39.2,30.2,100.0,29.98,10.0,17.3,
3,NC,43.0,,93.0,29.95,1.5,,
3,FL,62.6,,94.0,30.04,10.0,5.8,0.01
2,GA,63.0,,93.0,29.95,10.0,10.4,0.01
3,TX,53.6,,35.0,30.18,10.0,,
2,TX,50.0,,50.0,30.23,10.0,11.5,
3,CO,37.0,29.3,34.0,30.22,10.0,11.5,
2,CT,39.0,32.3,89.0,29.83,2.0,10.4,0.01
2,SC,46.4,,93.0,30.04,10.0,,
3,WA,52.0,,63.0,29.69,10.0,4.6,0.0
2,NY,37.0,34.5,89.0,29.63,10.0,3.5,
3,NY,36.0,26.7,73.0,29.91,9.0,15.0,0.01
2,PA,37.4,,93.0,29.82,10.0,,
2,NY,41.0,39.0,82.0,29.78,10.0,3.5,
2,PA,48.0,,58.0,29.8,10.0,13.8,
2,VA,42.1,37.7,70.0,29.91,10.0,6.9,
2,NC,37.0,,96.0,30.06,10.0,,
2,NC,46.0,43.9,83.0,30.08,10.0,4.6,
2,NC,60.1,,33.0,29.94,10.0,5.8,
2,FL,63.0,,81.0,30.09,10.0,8.1,
2,FL,60.1,,69.0,30.1,10.0,4.6,
2,SC,42.8,,93.0,30.07,10.0,,
2,GA,49.3,,76.0,30.2,10.0,11.5,
2,SC,57.9,,41.0,30.09,10.0,6.9,
2,SC,62.6,,37.0,30.05,10.0,3.5,
2,SC,61.0,,52.0,30.01,10.0,6.9,
2,NE,48.9,,65.0,30.13,10.0,8.1,
2,MN,21.9,15.7,82.0,30.31,10.0,4.6,
2,MN,28.0,,63.0,30.32,10.0,,
2,IL,28.0,,75.0,30.26,10.0,,
2,TX,51.1,,71.0,30.28,10.0,,
2,OK,44.1,40.1,58.0,30.2,10.0,6.9,
2,TX,57.2,,82.0,30.25,9.0,,
2,OK,57.0,,36.0,30.23,10.0,,
2,AZ,44.6,,61.0,30.16,10.0,,
2,NY,30.9,16.4,43.0,29.99,10.0,28.8,
2,PA,39.0,29.9,50.0,29.98,10.0,17.3,
3,PA,32.0,23.0,55.0,30.03,10.0,11.5,
2,NC,39.0,,70.0,30.11,10.0,,
3,NC,42.1,37.1,58.0,30.16,10.0,8.1,
2,NC,46.0,41.0,50.0,30.17,10.0,10.4,
2,SC,46.0,,79.0,30.13,,,
3,MN,35.1,30.1,72.0,29.95,10.0,5.8,
2,NE,39.9,35.1,83.0,29.88,10.0,6.9,
2,KS,48.9,,69.0,29.97,10.0,5.8,
2,IL,36.0,30.3,62.0,30.11,10.0,6.9,
3,IL,39.2,32.5,73.0,30.09,10.0,10.4,
2,OK,50.0,,66.0,29.95,10.0,9.2,
2,LA,55.9,,84.0,30.07,10.0,,
2,TX,62.6,,45.0,29.99,10.0,5.8,
2,TX,57.9,,65.0,29.97,10.0,10.4,
3,TN,55.9,,45.0,30.16,10.0,3.5,
2,AL,34.0,,96.0,30.17,7.0,,
2,TX,50.0,,100.0,30.11,0.2,4.6,
2,OK,55.0,,67.0,30.02,10.0,6.9,
2,WA,44.6,43.1,100.0,29.98,10.0,3.5,
2,RI,34.0,31.0,54.0,30.08,10.0,3.5,
2,NY,24.1,18.2,84.0,30.11,10.0,4.6,
3,NY,33.1,,70.0,30.12,10.0,,
3,NC,30.2,,100.0,30.19,10.0,,
2,VA,46.0,44.8,50.0,30.12,10.0,3.5,
2,FL,,,,30.06,10.0,9.2,
2,FL,53.1,,89.0,30.1,10.0,6.9,
3,FL,64.4,,88.0,29.97,10.0,6.9,0.01
2,GA,41.0,,89.0,30.12,10.0,,
2,GA,42.1,40.2,76.0,30.15,7.0,3.5,
3,GA,57.9,,53.0,30.0,10.0,10.4,
3,SC,48.2,,66.0,30.05,10.0,4.6,
3,FL,64.0,,56.0,30.04,10.0,,
2,MN,37.4,31.4,93.0,29.61,10.0,8.1,
2,TX,55.9,,97.0,29.88,0.5,4.6,0.0
2,OK,53.1,,89.0,29.75,7.0,9.2,0.0
2,TX,52.0,,100.0,29.9,1.0,6.9,
3,TN,53.1,,47.0,29.92,10.0,5.8,
2,UT,37.0,33.3,79.0,30.31,10.0,4.6,
2,WA,43.7,39.1,100.0,30.11,10.0,8.1,
3,WA,48.9,,74.0,30.09,10.0,,
2,CA,62.6,,68.0,30.21,10.0,6.9,
3,CA,55.0,,86.0,30.17,10.0,3.5,
3,MI,36.0,31.1,73.0,29.87,10.0,5.8,
3,KY,46.9,,90.0,29.52,7.0,9.2,0.01
2,NC,48.9,,100.0,29.73,1.5,5.8,0.1
2,NC,48.9,,100.0,29.73,1.5,5.8,0.1
2,VA,46.9,,93.0,29.79,5.0,4.6,0.08
2,VA,50.0,,100.0,29.65,1.8,6.9,0.01
3,FL,66.9,,100.0,29.69,2.0,9.2,0.13
2,FL,64.0,,93.0,29.67,10.0,5.8,0.03
2,FL,64.0,,90.0,29.55,10.0,16.1,
2,TX,51.1,,35.0,30.09,10.0,5.8,
3,TX,55.4,,31.0,30.0,10.0,19.6,
2,TX,57.9,,33.0,29.92,10.0,28.8,
2,LA,51.1,,86.0,29.68,6.0,27.6,0.01
2,AL,50.0,,94.0,29.47,10.0,3.5,
2,TX,63.0,,37.0,29.89,10.0,25.3,
3,TX,59.0,,25.0,30.12,10.0,3.5,
2,OR,54.0,,69.0,29.91,10.0,11.5,
2,MA,57.9,,87.0,29.68,2.5,13.8,0.13
2,NJ,61.3,,93.0,29.47,7.0,8.1,
2,KY,45.0,40.6,86.0,29.43,10.0,8.1,0.0
2,FL,61.0,,67.0,29.68,10.0,20.7,0.01
3,SC,59.0,,94.0,29.38,10.0,3.5,
2,SC,60.1,,75.0,29.31,10.0,12.7,0.0
2,GA,45.0,37.9,90.0,29.41,5.0,16.1,0.03
2,SC,46.9,,86.0,29.4,10.0,9.2,0.0
3,MN,21.9,13.4,82.0,29.9,10.0,6.9,
2,IL,35.1,24.8,89.0,29.62,6.0,17.3,0.0
2,OK,30.0,25.2,75.0,29.99,10.0,4.6,
2,OK,44.1,39.0,49.0,29.83,10.0,9.2,
2,OK,41.0,34.7,60.0,29.82,10.0,10.4,
3,OR,46.0,,79.0,30.24,10.0,,
2,CA,53.6,,88.0,30.09,10.0,6.9,
2,CA,64.9,,58.0,30.06,8.0,6.9,
3,CA,57.0,,87.0,30.02,6.0,3.5,
2,MA,46.4,41.5,87.0,29.27,2.0,10.4,0.01
2,NY,41.0,32.2,57.0,29.49,10.0,18.4,
2,NY,41.0,33.9,60.0,29.44,10.0,12.7,
3,VA,44.6,39.2,61.0,29.8,10.0,10.4,
3,KY,39.0,32.8,62.0,30.08,10.0,9.2,
2,NC,44.1,38.6,68.0,30.03,10.0,10.4,
2,FL,60.1,,57.0,30.16,10.0,10.4,
3,FL,46.4,42.4,76.0,30.12,10.0,8.1,
2,TX,73.0,,51.0,29.95,10.0,16.1,
3,CA,50.0,,46.0,29.99,10.0,12.7,
3,CA,68.0,,59.0,30.01,6.0,4.6,
3,CA,57.9,,90.0,30.06,10.0,,
3,MD,42.1,38.4,62.0,30.22,10.0,5.8,
3,WV,34.0,,85.0,30.14,10.0,,
2,SC,48.0,,56.0,30.2,10.0,6.9,
3,NC,59.0,,39.0,30.14,10.0,10.4,
3,TN,36.0,33.3,82.0,30.34,10.0,3.5,
3,UT,,,,,,,
2,CA,53.1,,86.0,30.29,6.0,4.6,
2,NY,32.0,,96.0,30.04,1.2,,0.03
3,KY,30.9,26.2,85.0,30.33,8.0,4.6,
2,FL,60.1,,69.0,30.28,10.0,,
2,SC,57.0,,55.0,30.27,10.0,,
3,MN,24.8,20.5,74.0,30.16,10.0,3.5,
3,MN,24.1,16.0,69.0,30.22,10.0,6.9,
2,LA,57.9,,56.0,30.3,10.0,6.9,
2,OK,51.1,,48.0,30.07,10.0,19.6,
2,TX,58.6,,73.0,30.1,10.0,8.1,
2,LA,64.9,,45.0,30.21,10.0,6.9,
3,CA,48.9,,80.0,30.21,10.0,,
3,CA,55.9,,90.0,30.08,1.5,,
2,NJ,37.0,30.4,52.0,30.32,10.0,9.2,
3,PA,,,,30.31,,,
2,VA,26.1,,92.0,30.4,10.0,,
3,MN,19.9,12.1,78.0,30.22,10.0,5.8,
2,TX,55.0,,96.0,30.06,0.8,6.9,
3,NC,29.1,,100.0,30.41,10.0,,
2,NC,42.8,,61.0,30.55,10.0,,
2,FL,73.0,,71.0,30.2,10.0,16.1,
3,FL,75.0,,71.0,30.17,10.0,19.6,
2,CO,24.8,15.3,80.0,29.77,30.0,9.2,
3,OR,46.0,39.9,86.0,30.09,10.0,13.8,
3,CA,54.0,,66.0,30.13,10.0,5.8,
2,PA,35.6,,87.0,30.63,7.0,,
2,NJ,42.1,40.2,41.0,30.58,,3.5,
2,OH,37.0,32.4,76.0,30.38,10.0,5.8,
2,PA,27.0,23.0,92.0,30.56,4.0,3.5,
3,PA,46.9,,50.0,30.45,10.0,9.2,
2,OH,46.0,,71.0,30.14,10.0,,0.0
2,NC,39.9,35.8,68.0,30.48,10.0,5.8,
2,NC,48.0,,61.0,30.36,10.0,5.8,
2,NC,46.0,41.9,96.0,30.23,2.0,8.1,0.01
2,SC,42.8,36.6,66.0,30.42,10.0,11.5,
3,FL,64.9,,97.0,30.13,10.0,9.2,
3,FL,64.9,,97.0,30.13,10.0,9.2,
3,MN,35.6,30.7,100.0,29.48,5.0,5.8,0.03
2,TX,67.6,,34.0,29.79,10.0,16.1,
2,TX,53.6,,88.0,29.66,10.0,11.5,
3,TX,55.9,,84.0,29.72,10.0,12.7,
3,LA,73.9,,87.0,29.83,5.0,25.3,0.0
2,TX,55.0,,100.0,29.82,7.0,3.5,0.19
2,UT,23.0,,100.0,29.93,1.0,,
2,CA,46.4,,76.0,29.96,10.0,,
3,CA,57.0,,36.0,29.91,10.0,9.2,
2,NH,33.1,28.7,92.0,30.3,4.0,4.6,0.02
2,NH,33.1,30.0,100.0,30.32,2.5,3.5,0.09
